"ensembl_id","logFC","adj.P.Val"
"ENSG00000115386",5.77799359846824,4.8144569255994e-06
"ENSG00000137673",5.29565961484468,1.16467594001157e-09
"ENSG00000164379",5.15990989414532,3.32696471760638e-08
"ENSG00000170373",5.11336142148783,1.82380683605256e-08
"ENSG00000175832",5.10449680829304,4.24691699381803e-12
"ENSG00000134827",4.95099449153589,6.12681633742219e-08
"ENSG00000107159",4.95081778229357,2.05118404365569e-07
"ENSG00000149968",4.94676384415997,1.65922886611336e-09
"ENSG00000167767",4.90114958112671,2.58623860669945e-12
"ENSG00000165376",4.72057793813643,1.2763417965665e-07
"ENSG00000172023",4.70194615957164,5.63015163315112e-05
"ENSG00000170231",4.59777921600206,1.1876960395639e-09
"ENSG00000196611",4.48130585110519,1.29841978415082e-08
"ENSG00000105664",4.408746812645,8.29839533642937e-10
"ENSG00000184292",4.40091773377119,7.2282458082586e-08
"ENSG00000062038",4.38729642998927,1.10798399343626e-10
"ENSG00000167755",4.35582096450622,3.73028248527883e-08
"ENSG00000169429",4.35405563840193,6.78883286678182e-08
"ENSG00000015413",4.350218503476,2.7018002962241e-05
"ENSG00000060718",4.34877768429443,3.80093155923105e-11
"ENSG00000178773",4.33959786806273,1.21866821582918e-08
"ENSG00000181577",4.28797399191549,8.47356214111962e-08
"ENSG00000105464",4.27615464771155,4.95419116704533e-12
"ENSG00000163347",4.24934335405931,9.22667481742093e-12
"ENSG00000108244",4.24467597137883,3.96972300994851e-07
"ENSG00000105989",4.2310998854624,4.27458386819226e-12
"ENSG00000123500",4.08205991389346,1.2074866336273e-08
"ENSG00000185269",4.05078607883492,1.33691573076273e-06
"ENSG00000172016",4.00841760359974,0.000292747545315617
"ENSG00000103888",3.90020881448992,1.32247047348117e-08
"ENSG00000253929",3.84650108713396,1.33691573076273e-06
"ENSG00000139515",3.83639833429176,4.19303987801209e-10
"ENSG00000118785",3.79534204180434,2.72742919911135e-07
"ENSG00000120149",3.79257653619572,1.32070493508386e-09
"ENSG00000128422",3.74886816645073,4.56717678583565e-06
"ENSG00000122641",3.7167935399107,1.22171793173639e-09
"ENSG00000164283",3.71026539330693,9.36565394519605e-12
"ENSG00000112559",3.65842440724283,5.30270594623117e-10
"ENSG00000172031",3.64891196353348,8.48026744928543e-10
"ENSG00000171388",3.60472872861687,1.69445140524446e-09
"ENSG00000175592",3.5895826292585,5.20078242296084e-08
"ENSG00000088992",3.46630053742486,7.28350110659302e-08
"ENSG00000129451",3.46112092604414,5.45538359941471e-07
"ENSG00000130600",3.40941757387245,9.44975456316904e-05
"ENSG00000006327",3.37675312134604,1.24190475882445e-10
"ENSG00000088002",3.3516657102836,6.49851116755549e-08
"ENSG00000164932",3.34268116151985,5.04729082672316e-10
"ENSG00000099953",3.32354438379925,8.85210276158289e-09
