"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
"ENSG00000123560",-3.84142313883693,-0.935471933181411,-20.7679221540438,3.8588548746236e-16,2.58623860669945e-12,26.8832206870263,"ENSG00000123560"
"ENSG00000183034",-6.73479150407387,0.843302673810225,-20.6768335464702,4.2387153280456e-16,2.58623860669945e-12,26.7946987209551,"ENSG00000183034"
"ENSG00000167767",4.90114958112671,-0.244825858357406,20.4133839612167,5.57298938377987e-16,2.58623860669945e-12,26.5362831363873,"ENSG00000167767"
"ENSG00000064205",-4.48691803788737,-0.187652916073813,-20.0157142732771,8.47503156112566e-16,2.94973473484978e-12,26.1393536971693,"ENSG00000064205"
"ENSG00000172005",-3.74765372209975,-0.134782917764205,-19.3788779810686,1.68485394955351e-15,4.24691699381803e-12,25.4859187899908,"ENSG00000172005"
"ENSG00000162706",-4.17335679145235,-0.3414573060565,-19.2529958748451,1.93457767444563e-15,4.24691699381803e-12,25.3540828919082,"ENSG00000162706"
"ENSG00000079689",-4.91935450566626,1.29201221818379,-19.0978762657231,2.29632805665794e-15,4.24691699381803e-12,25.1903830765783,"ENSG00000079689"
"ENSG00000175832",5.10449680829304,2.2222523373243,18.9524452801884,2.69973856810985e-15,4.24691699381803e-12,25.0356463043105,"ENSG00000175832"
"ENSG00000111404",-4.04288507204958,-0.896628758502771,-18.9374120661307,2.74545704240499e-15,4.24691699381803e-12,25.0195809307975,"ENSG00000111404"
"ENSG00000105989",4.2310998854624,-0.749950618106068,18.8375469087651,3.07038059775338e-15,4.27458386819226e-12,24.9125227888129,"ENSG00000105989"
"ENSG00000105464",4.27615464771155,0.979444300260614,18.6223240142004,3.9143875044892e-15,4.95419116704533e-12,24.6797919525392,"ENSG00000105464"
"ENSG00000111846",-2.58315453737705,-1.07569373898957,-18.088462203722,7.22778568698967e-15,7.83832192289338e-12,24.0903910324699,"ENSG00000111846"
"ENSG00000175785",-3.92789846126248,-0.647764490730818,-18.077661212267,7.31922029863625e-15,7.83832192289338e-12,24.0782844475693,"ENSG00000175785"
"ENSG00000163347",4.24934335405931,1.23375636584772,17.8749325565232,9.27836858525305e-15,9.22667481742093e-12,23.8496836341941,"ENSG00000163347"
"ENSG00000164283",3.71026539330693,-1.05912313255215,17.7881521376077,1.02772669510096e-14,9.36565394519605e-12,23.7510283024804,"ENSG00000164283"
"ENSG00000142959",-5.99406722484888,2.31306489924458,-17.7490341005525,1.07635729868652e-14,9.36565394519605e-12,23.7063991266261,"ENSG00000142959"
"ENSG00000185432",-2.36727099296781,4.22880283941784,-17.454829332375,1.5283284836309e-14,1.2516111264182e-11,23.3675559811114,"ENSG00000185432"
"ENSG00000119147",-3.94291202351529,-0.659408855400504,-17.3337046189514,1.76828340260034e-14,1.36766897394455e-11,23.2263961927578,"ENSG00000119147"
"ENSG00000106809",-4.59082789676417,0.416892228628772,-17.2674025257763,1.91594687756441e-14,1.40388486470798e-11,23.1487121157997,"ENSG00000106809"
"ENSG00000153446",-4.53694819690881,0.909274148603825,-17.0716230756379,2.4317305861491e-14,1.69272766101839e-11,22.9175908848993,"ENSG00000153446"
"ENSG00000164530",-5.43184198493778,0.952852537745779,-16.8586511205089,3.16016373781527e-14,2.09503807418401e-11,22.6631936460778,"ENSG00000164530"
"ENSG00000168309",-3.15751462455493,0.639270881589798,-16.8065216095388,3.37094461301104e-14,2.13319504101544e-11,22.6004450148486,"ENSG00000168309"
"ENSG00000071539",2.40596558449671,1.15004688936589,16.6150621056472,4.27945456253186e-14,2.59037245302472e-11,22.3683446716427,"ENSG00000071539"
"ENSG00000224958",-4.17296414496595,-0.262868971842285,-16.4856291106816,5.03537043438264e-14,2.9209344661448e-11,22.2099612954195,"ENSG00000224958"
"ENSG00000168748",-6.18876384489442,2.18334993984631,-16.3953705691718,5.64383690563937e-14,2.98366863637449e-11,22.0988014915417,"ENSG00000168748"
"ENSG00000112936",-4.59449547857926,0.766549269635246,-16.3905301155499,5.67855654747861e-14,2.98366863637449e-11,22.0928234669397,"ENSG00000112936"
"ENSG00000162461",-3.54465378440698,0.56410688395691,-16.3756814836361,5.78645691582468e-14,2.98366863637449e-11,22.0744745926204,"ENSG00000162461"
"ENSG00000170323",-4.46256331314607,1.42372793787891,-16.2620235109492,6.68645635364355e-14,3.32460161983663e-11,21.9334917603583,"ENSG00000170323"
"ENSG00000060718",4.34877768429443,-0.384982753807233,16.1268525076939,7.94969481683839e-14,3.80093155923105e-11,21.7645881969811,"ENSG00000060718"
"ENSG00000103375",-7.15878278691881,4.6636279718475,-16.1036410430071,8.19048604919778e-14,3.80093155923105e-11,21.7354480569512,"ENSG00000103375"
"ENSG00000134201",-2.57006307566435,-0.602890567754298,-15.7927657827744,1.22578970965566e-13,5.50498204446002e-11,21.3412691133992,"ENSG00000134201"
"ENSG00000108405",-2.39391222259873,0.669034174741256,-15.7094839245667,1.36716083119885e-13,5.94800409123452e-11,21.2344227138844,"ENSG00000108405"
"ENSG00000116194",-3.53374953783626,-0.590340891666227,-15.676618248325,1.42752843877956e-13,6.02243967414818e-11,21.1921107569743,"ENSG00000116194"
"ENSG00000170312",1.81751252206032,2.50181483673167,15.6321819669977,1.51359248054614e-13,6.08598605366454e-11,21.1347696847606,"ENSG00000170312"
"ENSG00000176533",-2.68624035026639,1.32463001990701,-15.6239991519736,1.53002091566053e-13,6.08598605366454e-11,21.124193790874,"ENSG00000176533"
"ENSG00000152785",-3.8657486618591,-0.311169206721914,-15.4438321312136,1.94290034428224e-13,7.51362738697149e-11,20.8900114130726,"ENSG00000152785"
"ENSG00000167916",-4.20691468355984,-1.12694663323549,-15.3728744940683,2.13594990581509e-13,8.0057636574886e-11,20.7970789012262,"ENSG00000167916"
"ENSG00000036672",-3.26118448502846,-0.0748598827134643,-15.3558509191917,2.18516749737514e-13,8.0057636574886e-11,20.7747238777332,"ENSG00000036672"
"ENSG00000116748",-3.67634973841917,-0.0116804582522078,-15.3359820705964,2.24410708172341e-13,8.01088686968034e-11,20.74860332404,"ENSG00000116748"
"ENSG00000104921",-3.2637031281345,-0.156688299249324,-15.202471519163,2.68558809620556e-13,9.34718936884346e-11,20.5722647112702,"ENSG00000104921"
"ENSG00000138180",2.10476642950399,2.04327418808813,15.1575700656359,2.85363536444142e-13,9.68983208384231e-11,20.512637221045,"ENSG00000138180"
"ENSG00000172348",-2.30028770138699,1.42354592585521,-15.1251936548399,2.98157036709529e-13,9.88319586921443e-11,20.4695412115935,"ENSG00000172348"
"ENSG00000170703",-2.31888273991802,-0.0803413594758184,-15.0282758492531,3.40144252423101e-13,1.10127634470568e-10,20.3400245076406,"ENSG00000170703"
"ENSG00000062038",4.38729642998927,0.736914506395707,15.0069666852112,3.50174513081421e-13,1.10798399343626e-10,20.3114448550697,"ENSG00000062038"
"ENSG00000146039",-3.88217465734247,0.942851425988303,-14.9280867094524,3.90062622561746e-13,1.20676707362325e-10,20.2053266772664,"ENSG00000146039"
"ENSG00000006327",3.37675312134604,3.68278366378054,14.8749985701363,4.19546940277276e-13,1.24190475882445e-10,20.1336170430681,"ENSG00000006327"
"ENSG00000187783",-4.40517788543305,0.395187596233431,-14.8717202764423,4.2144200890253e-13,1.24190475882445e-10,20.129181169121,"ENSG00000187783"
"ENSG00000183508",-2.15125762169313,2.67756252725456,-14.8601845779735,4.28181499953839e-13,1.24190475882445e-10,20.113565058222,"ENSG00000183508"
"ENSG00000101187",2.71558489603552,2.30358372249574,14.5350981096004,6.723992123375e-13,1.88677691427205e-10,19.6688918321822,"ENSG00000101187"
"ENSG00000104332",-4.60400455016816,0.502986559579955,-14.5295735480237,6.77624232966546e-13,1.88677691427205e-10,19.6612574736849,"ENSG00000104332"
"ENSG00000118777",-3.61830417539686,0.462987923073593,-14.4552465222994,7.52175417813915e-13,2.05329140525595e-10,19.5582903927134,"ENSG00000118777"
"ENSG00000240505",-3.54867890079672,0.228583649043111,-14.3912232271384,8.23223698208488e-13,2.20402313970357e-10,19.4692150857401,"ENSG00000240505"
"ENSG00000223573",-2.93409403933118,-0.37266448285748,-14.3664298832051,8.5258146138164e-13,2.22591164503604e-10,19.4346247263094,"ENSG00000223573"
"ENSG00000187824",-2.12021506439683,0.398174038213799,-14.3575360866673,8.63376158827369e-13,2.22591164503604e-10,19.4222035411089,"ENSG00000187824"
"ENSG00000172594",-2.198858645479,3.71729298586439,-14.3298972101125,8.97838823424194e-13,2.2726749272203e-10,19.3835587471584,"ENSG00000172594"
"ENSG00000135678",-2.5815979608049,2.11521706430404,-14.29392572554,9.44846579144181e-13,2.3489560847938e-10,19.3331633357246,"ENSG00000135678"
"ENSG00000171793",2.04601789966369,1.3031856621134,14.2754116898213,9.70031608392248e-13,2.36925965825208e-10,19.3071813359671,"ENSG00000171793"
"ENSG00000196616",-4.74886642745348,0.715093987098053,-14.2384071948871,1.02248407019252e-12,2.45431434917592e-10,19.2551602271982,"ENSG00000196616"
"ENSG00000184220",1.96794355846708,1.67714389569832,14.1476668670164,1.16397316165126e-12,2.74658209432353e-10,19.1270858402384,"ENSG00000184220"
"ENSG00000187091",-2.17846658745372,2.99938414853163,-14.0376187279677,1.36332206666575e-12,3.16336163535342e-10,18.9707781986705,"ENSG00000187091"
"ENSG00000151892",-2.56917665943843,-0.874469683512913,-14.0261385392478,1.38607117893077e-12,3.16342343493019e-10,18.9544098624983,"ENSG00000151892"
"ENSG00000157005",-6.30847926989561,2.52029817887138,-13.9635404958504,1.51725261413254e-12,3.40696627321825e-10,18.8649497475955,"ENSG00000157005"
"ENSG00000187699",-3.60488224867746,1.7689848766197,-13.9188500715541,1.61875855441179e-12,3.57719945944778e-10,18.8008654427839,"ENSG00000187699"
"ENSG00000107562",-3.11841684008174,2.12649061747355,-13.8580355122704,1.76835666444271e-12,3.80611039673052e-10,18.7133688012326,"ENSG00000107562"
"ENSG00000163497",-4.23437985449031,-0.131821289579683,-13.8546780533387,1.77702324226033e-12,3.80611039673052e-10,18.7085284712879,"ENSG00000163497"
"ENSG00000091651",1.93976642513475,0.699708212315595,13.8390156049638,1.81803996253134e-12,3.80846910217268e-10,18.6859348860442,"ENSG00000091651"
"ENSG00000117115",-3.64280424205561,3.88724713051383,-13.8226495571935,1.86195220371076e-12,3.80846910217268e-10,18.6623024033344,"ENSG00000117115"
"ENSG00000176641",-2.54398590135354,0.0572514286059083,-13.8213419473416,1.86550793088759e-12,3.80846910217268e-10,18.6604131656969,"ENSG00000176641"
"ENSG00000090447",1.53673151799667,1.09080966487641,13.8132942994349,1.88754753663206e-12,3.80846910217268e-10,18.6487824623913,"ENSG00000090447"
"ENSG00000074755",-1.54369849960806,2.23289141848742,-13.7608382524371,2.03799971328602e-12,4.0532902869097e-10,18.5728259625174,"ENSG00000074755"
"ENSG00000101255",3.31864479161175,2.44861505877919,13.7301322886126,2.13180494593496e-12,4.18013921933895e-10,18.5282462999638,"ENSG00000101255"
"ENSG00000161405",-2.04658817099117,0.161187289595276,-13.7127175885069,2.1869902188642e-12,4.19303987801209e-10,18.5029245900464,"ENSG00000161405"
"ENSG00000139515",3.83639833429176,0.600874251331917,13.7091058319716,2.19862024920904e-12,4.19303987801209e-10,18.497669437497,"ENSG00000139515"
